id,specialty
0,General Surgery
1,Unknown
2,Family Practice
3,Emergency Medicine
4,Plastic and Reconstructive Surgery
5,Cardiology
6,Plastic and Reconstructive Surgery
7,Cardiology
8,Anesthesiology
9,Cardiology
10,Cardiology
11,Unknown
12,Diagnostic Radiology
13,Unknown
14,Internal Medicine
15,Psychiatry
16,Unknown
17,Unknown
18,Unknown
19,Internal Medicine
20,Pulmonary Disease
21,Anesthesiology
22,Unknown
23,Internal Medicine
24,Physical Medicine and Rehabilitation
25,Diagnostic Radiology
26,Internal Medicine
27,Family Practice
28,Internal Medicine
29,Emergency Medicine
30,Family Practice
31,Family Practice
32,Unknown
33,Unknown
34,Unknown
35,Unknown
36,Diagnostic Radiology
37,Unknown
38,Unknown
39,Cardiology
40,Pulmonary Disease
41,Unknown
42,Cardiology
43,Dermatology
44,Family Practice
45,Internal Medicine
46,Unknown
47,Emergency Medicine
48,Unknown
49,Unknown
50,Cardiology
51,Unknown
52,Hand Surgery
53,Urology
54,Unknown
55,Unknown
56,Cardiology
57,Cardiology
58,Unknown
59,Family Practice
60,Family Practice
61,Critical Care (Intensivists)
62,Ophthalmology
63,Psychiatry
64,Cardiology
65,Pediatric Medicine
66,Unknown
67,Internal Medicine
68,Cardiology
69,Radiation Oncology
70,Internal Medicine
71,Family Practice
72,Diagnostic Radiology
73,Cardiology
74,Unknown
75,Internal Medicine
76,Family Practice
77,Unknown
78,Cardiology
79,Gastroenterology
80,Family Practice
81,Unknown
82,Unknown
83,Internal Medicine
84,Unknown
85,Unknown
86,Cardiology
87,Unknown
88,Unknown
89,Diagnostic Radiology
90,Orthopedic Surgery
91,Cardiology
92,Urology
93,Gastroenterology
94,Cardiology
95,Physical Medicine and Rehabilitation
96,Unknown
97,Family Practice
98,Neurology
99,General Surgery
100,Orthopedic Surgery
101,Unknown
102,Radiation Oncology
103,Cardiology
104,Internal Medicine
105,Cardiology
106,Cardiology
107,Physical Therapist
108,Cardiology
109,Unknown
110,Cardiology
111,Unknown
112,Cardiology
113,Obstetrics/Gynecology
114,Unknown
115,Unknown
116,Family Practice
117,Cardiology
118,Dermatology
119,Unknown
120,Unknown
121,Cardiology
122,Cardiology
123,Unknown
124,Cardiology
125,Gastroenterology
126,Unknown
127,Emergency Medicine
128,Cardiology
129,Diagnostic Radiology
130,Cardiology
131,Ophthalmology
132,Unknown
133,Diagnostic Radiology
134,Cardiology
135,Cardiology
136,Internal Medicine
137,Internal Medicine
138,Cardiology
139,General Surgery
140,Emergency Medicine
141,Pathology
142,Cardiology
143,Unknown
144,Internal Medicine
145,Cardiology
146,Unknown
147,Unknown
148,Unknown
149,Diagnostic Radiology
150,Unknown
151,Cardiology
152,Cardiology
153,Unknown
154,Cardiology
155,Obstetrics/Gynecology
156,Psychiatry
157,Endocrinology
158,Cardiology
159,Cardiology
160,Anesthesiology
161,Unknown
162,Pathology
163,Unknown
164,Internal Medicine
165,Neurology
166,Diagnostic Radiology
167,Pathology
168,Unknown
169,Unknown
170,Cardiology
171,Unknown
172,Unknown
173,Cardiology
174,Emergency Medicine
175,Unknown
176,Internal Medicine
177,Anesthesiology
178,Orthopedic Surgery
179,Anesthesiology
180,Unknown
181,Cardiology
182,Emergency Medicine
183,Internal Medicine
184,Family Practice
185,Vascular Surgery
186,Anesthesiology
187,Cardiology
188,Unknown
189,Cardiology
190,Cardiology
191,Anesthesiology
192,Unknown
193,Gastroenterology
194,Pulmonary Disease
195,Emergency Medicine
196,Cardiology
197,Unknown
198,Interventional Pain Management
199,Orthopedic Surgery
200,Internal Medicine
201,Ophthalmology
202,Cardiology
203,Family Practice
204,Anesthesiology
205,Unknown
206,Unknown
207,Cardiology
208,Cardiology
209,Internal Medicine
210,Unknown
211,Physical Medicine and Rehabilitation
212,Orthopedic Surgery
213,Unknown
214,Unknown
215,Psychiatry
216,Unknown
217,Cardiology
218,Orthopedic Surgery
219,Cardiology
220,Unknown
221,Cardiology
222,Cardiology
223,Cardiology
224,Internal Medicine
225,Urology
226,Unknown
227,Cardiology
228,Cardiology
229,Orthopedic Surgery
230,Cardiology
231,General Surgery
232,Unknown
233,Unknown
234,Emergency Medicine
235,Diagnostic Radiology
236,Anesthesiology
237,Cardiology
238,Unknown
239,Unknown
240,Endocrinology
241,Obstetrics/Gynecology
242,Cardiology
243,Cardiology
244,Cardiology
245,Unknown
246,General Practice
247,Unknown
248,Hematology/Oncology
249,Unknown
250,Unknown
251,Unknown
252,Family Practice
253,Cardiology
254,Unknown
255,Anesthesiology
256,Unknown
257,Internal Medicine
258,Unknown
259,Family Practice
260,Cardiology
261,Cardiology
262,Interventional Radiology
263,Family Practice
264,Anesthesiology
265,Family Practice
266,Family Practice
267,Unknown
268,Dermatology
269,Unknown
270,Oral Surgery (dentists only)
271,Cardiology
272,Internal Medicine
273,Unknown
274,Unknown
275,Unknown
276,Unknown
277,Cardiology
278,Rheumatology
279,Cardiology
280,Unknown
281,Otolaryngology
282,Neurology
283,Physical Medicine and Rehabilitation
284,Cardiology
285,Radiation Oncology
286,Family Practice
287,Psychiatry
288,Unknown
289,Internal Medicine
290,Cardiac Surgery
291,Unknown
292,Cardiology
293,Obstetrics/Gynecology
294,General Surgery
295,Cardiology
296,Unknown
297,Cardiology
298,Family Practice
299,Cardiology
300,Unknown
301,Unknown
302,Cardiology
303,Unknown
304,Cardiology
305,Psychiatry
306,Otolaryngology
307,Unknown
308,Unknown
309,General Practice
310,Internal Medicine
311,Family Practice
312,Cardiology
313,Orthopedic Surgery
314,Unknown
315,Cardiology
316,Unknown
317,General Surgery
318,Unknown
319,Cardiology
320,Cardiology
321,Internal Medicine
322,Cardiology
323,Colorectal Surgery (formerly proctology)
324,Unknown
325,Cardiology
326,Internal Medicine
327,Dermatology
328,Obstetrics/Gynecology
329,Cardiology
330,Internal Medicine
331,Emergency Medicine
332,Unknown
333,Pulmonary Disease
334,Unknown
335,Pathology
336,Emergency Medicine
337,Emergency Medicine
338,Obstetrics/Gynecology
339,Hematology/Oncology
340,Cardiology
341,Unknown
342,Allergy/Immunology
343,Unknown
344,Family Practice
345,Anesthesiology
346,Pathology
347,Unknown
348,Internal Medicine
349,Obstetrics/Gynecology
350,Plastic and Reconstructive Surgery
351,Internal Medicine
352,Critical Care (Intensivists)
353,Unknown
354,Internal Medicine
355,Anesthesiology
356,Internal Medicine
357,Cardiology
358,Obstetrics/Gynecology
359,Interventional Radiology
360,Unknown
361,Radiation Oncology
362,Cardiology
363,Psychiatry
364,Cardiology
365,Unknown
366,Unknown
367,Family Practice
368,Unknown
369,Unknown
370,Pulmonary Disease
371,Otolaryngology
372,Cardiology
373,Unknown
374,Cardiology
375,Addiction Medicine
376,Unknown
377,Family Practice
378,Unknown
379,Emergency Medicine
380,Cardiology
381,Cardiology
382,Family Practice
383,Emergency Medicine
384,Psychiatry
385,Dermatology
386,Family Practice
387,Unknown
388,Allergy/Immunology
389,Unknown
390,Cardiology
391,Internal Medicine
392,Cardiology
393,Unknown
394,Infectious Disease
395,Orthopedic Surgery
396,Endocrinology
397,Unknown
398,Ophthalmology
399,Anesthesiology
400,Unknown
401,Cardiology
402,Cardiology
403,Unknown
404,Cardiology
405,Unknown
406,Internal Medicine
407,Unknown
408,Psychiatry
409,Emergency Medicine
410,Unknown
411,Obstetrics/Gynecology
412,Unknown
413,Unknown
414,Family Practice
415,Family Practice
416,Cardiology
417,Family Practice
418,Unknown
419,Cardiology
420,Internal Medicine
421,Internal Medicine
422,Obstetrics/Gynecology
423,Obstetrics/Gynecology
424,Pulmonary Disease
425,Physical Medicine and Rehabilitation
426,Family Practice
427,Internal Medicine
428,Unknown
429,Cardiology
430,Gastroenterology
431,Endocrinology
432,Internal Medicine
433,Obstetrics/Gynecology
434,Unknown
435,Emergency Medicine
436,Cardiology
437,Cardiology
438,Otolaryngology
439,Cardiology
440,Gastroenterology
441,Unknown
442,Cardiology
443,Cardiology
444,Family Practice
445,Diagnostic Radiology
446,Hematology/Oncology
447,Family Practice
448,Rheumatology
449,Interventional Radiology
450,Internal Medicine
451,Emergency Medicine
452,Unknown
453,Hand Surgery
454,Cardiology
455,Internal Medicine
456,Unknown
457,Unknown
458,Obstetrics/Gynecology
459,Unknown
460,Cardiology
461,Unknown
462,Unknown
463,Anesthesiology
464,Registered Dietician/Nutrition Professional
465,Emergency Medicine
466,Anesthesiology
467,Psychiatry
468,Unknown
469,Unknown
470,Internal Medicine
471,Unknown
472,Emergency Medicine
473,Internal Medicine
474,Emergency Medicine
475,Internal Medicine
476,Internal Medicine
477,Unknown
478,Diagnostic Radiology
479,Endocrinology
480,Unknown
481,Cardiology
482,Psychiatry
483,Cardiology
484,Psychiatry
485,Diagnostic Radiology
486,Anesthesiology
487,Cardiology
488,Cardiology
489,Unknown
490,Emergency Medicine
491,Unknown
492,Obstetrics/Gynecology
493,Medical Oncology
494,Unknown
495,Family Practice
496,Cardiology
497,Unknown
498,Unknown
499,Anesthesiology
500,Internal Medicine
501,Cardiology
502,Unknown
503,Cardiology
504,Cardiology
505,Family Practice
506,Unknown
507,Cardiology
508,Nephrology
509,Cardiology
510,Cardiology
511,Pulmonary Disease
512,Cardiology
513,Cardiology
514,Cardiology
515,Family Practice
516,Pathology
517,Dermatology
518,Unknown
519,Internal Medicine
520,Cardiology
521,Unknown
522,Unknown
523,Internal Medicine
524,Anesthesiology
525,Cardiology
526,Internal Medicine
527,Family Practice
528,Internal Medicine
529,Anesthesiology
530,Cardiology
531,Unknown
532,Emergency Medicine
533,Unknown
534,Internal Medicine
535,Ophthalmology
536,Cardiology
537,Internal Medicine
538,Unknown
539,Unknown
540,Internal Medicine
541,Cardiology
542,Family Practice
543,Unknown
544,Nephrology
545,Diagnostic Radiology
546,Family Practice
547,Internal Medicine
548,Family Practice
549,Unknown
