,Importance,Feature
0,0.1884,heart
1,0.0588,ekg
2,0.0489,study
3,0.0428,report
4,0.0412,blood
5,0.0344,minutes
6,0.0336,ultrasound
7,0.0254,interpretation
8,0.022,dual
9,0.0198,flow
10,0.0184,exercise
11,0.0179,pacemaker
12,0.0172,ray
13,0.0168,grafts
14,0.0166,inpatient
15,0.0164,care
16,0.0148,diagnostic
17,0.0144,mg
18,0.014,skin
19,0.0129,views
20,0.0122,office
21,0.0122,insertion
22,0.012,catheter
23,0.0115,leads
24,0.0103,hospital
25,0.0099,physician
26,0.0098,using
27,0.0098,multiple
28,0.0098,lead
29,0.0098,evaluation
30,0.0097,visit
31,0.0094,rate
32,0.0094,including
33,0.0093,typically
34,0.0093,programming
35,0.0087,patient
36,0.0084,day
37,0.0083,stress
38,0.0076,color
39,0.0074,12
40,0.0071,direction
41,0.0069,test
42,0.0069,examination
43,0.0064,supervision
44,0.006,medicine
45,0.0058,defibrillator
46,0.0055,vessel
47,0.0055,routine
48,0.0052,outpatient
49,0.004,scan
50,0.0036,studies
51,0.0036,legs
52,0.0036,imaging
53,0.0035,established
54,0.0033,valve
55,0.0031,removal
56,0.003,45
57,0.0029,review
58,0.0029,new
59,0.0028,vein
60,0.0028,days
61,0.0024,permanent
62,0.0024,injection
63,0.0024,ct
64,0.0024,analysis
65,0.0023,10
66,0.0021,lower
67,0.002,30
68,0.0014,vaccine
69,0.0014,testing
70,0.0014,rhythm
71,0.0014,discharge
72,0.0013,vessels
73,0.0013,measurement
74,0.0012,monitoring
75,0.0011,single
76,0.001,15
77,0.0008,management
78,0.0008,function
79,0.0008,endoscope
80,0.0007,drug
81,0.0006,nuclear
82,0.0005,virus
83,0.0005,subsequent
84,0.0005,left
85,0.0004,initial
86,0.0004,hour
87,0.0004,electrocardiogram
88,0.0004,25
89,0.0003,spine
90,0.0003,influenza
91,0.0003,50
92,0.0002,40
93,0.0002,35
94,0.0001,minimum
95,0.0,tracing
96,0.0,induced
97,0.0,depicted
98,0.0,adjustment
99,0.0,70
